== qwen36 Phase-2 engine | cache=256/layer bits=4 pilot=0 wide=1 hot=0 smooth=0.30 conf=0.92 ==
[tok] loaded 248044 pieces (max id 248043) from /mnt/ai-ssd/huggingface/hub/models--Kreuzzelg--qwen36-35b-a3b-colibri-i4/snapshots/9ccfbfa09bc55410a9c9102558ee63077d8a477d/tokenizer.json
[enc] prompt tokens: 15 | generating 16 new tokens
[meta] loaded: q_heads=16 kv_heads=2 head_dim=256 q_head_dim=512 k_head_dim=256 v_head_dim=256 o_in=4096 rotary_dim=64 n_experts=256 topk=8 inter=512 shared_inter=512 n_group=1 topk_group=1 attn_output_gate=1 n_active=10
[meta] DeltaNet: vheads=32 kheads=16 kdim=128 vdim=128 convk=4 conv_dim=8192
resident weights loaded in 11.1s | RSS after load: 9.23 GB
[dense-i8] 291 matrices quantized in 0.8 s, 7.2 GB f32 freed
[CUDA] device 0: Tesla P40, 25.6 GB VRAM, sm_61
[CUDA] device 1: Tesla P40, 25.6 GB VRAM, sm_61
[qtier] dev 0: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] dev 1: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] CUDA VRAM expert tier active: 2 device(s), 1.52 MB/expert
[gpu] MoE experts -> CUDA VRAM tier
[qwen36] int4 packed weights detected — unpacking to int8 in slot
[qtier] warmstart (parallel): all 10240 experts in RAM (int8 only for non-residents), 10240 in VRAM -- 45.1 s
[w4a8-groupwise-outlier32-shadow] rows=7 width=2048 rel_l2=0.015822854 max_abs=0.0014463493 cosine=0.9998751 finite=1
[w4a8-groupwise-outlier32-shadow] rows=1 width=2048 rel_l2=0.017389602 max_abs=0.00065028109 cosine=0.9998545 finite=1
[w4a8-groupwise-outlier32-shadow] rows=5 width=2048 rel_l2=0.018315968 max_abs=0.0019475147 cosine=0.99983841 finite=1
[w4a8-groupwise-outlier32-shadow] rows=3 width=2048 rel_l2=0.015612498 max_abs=0.00062346086 cosine=0.99987833 finite=1
[w4a8-groupwise-outlier32-shadow] rows=4 width=2048 rel_l2=0.021693087 max_abs=0.0029451028 cosine=0.99976799 finite=1
[w4a8-groupwise-outlier32-shadow] rows=4 width=2048 rel_l2=0.015404636 max_abs=0.00071120635 cosine=0.9998832 finite=1
[w4a8-groupwise-outlier32-shadow] rows=3 width=2048 rel_l2=0.019407541 max_abs=0.00099458615 cosine=0.99981181 finite=1
[w4a8-groupwise-outlier32-shadow] rows=5 width=2048 rel_l2=0.017731096 max_abs=0.0017024111 cosine=0.99984487 finite=1
